"air","exposure","smoking","level"
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","ex",2
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",1
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","no","cur",2
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",1
"low","yes","non",2
"low","yes","non",2
"low","yes","non",2
"low","yes","non",2
"low","yes","non",2
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",1
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","ex",2
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",1
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"low","yes","cur",2
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",1
"high","no","non",2
"high","no","non",2
"high","no","non",2
"high","no","non",2
"high","no","non",2
"high","no","non",2
"high","no","non",2
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",1
"high","no","ex",2
"high","no","ex",2
"high","no","ex",2
"high","no","ex",2
"high","no","ex",2
"high","no","ex",2
"high","no","ex",2
"high","no","ex",2
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",1
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
"high","no","cur",2
